empresa;codigo;nome;detalhe;executivo;url
fenix;721;Morro do Horácio - Saco dos Limões;;False;https://www.consorciofenix.com.br/horarios/morro-do-horacio-saco-dos-limoes,721
fenix;D-564;Pântano do Sul;;False;https://www.consorciofenix.com.br/horarios/pantano-do-sul,D-564
fenix;D-565;Ribeirão da Ilha;;False;https://www.consorciofenix.com.br/horarios/ribeirao-da-ilha,D-565
fenix;D-260;TICEN / Cachoeira do Bom Jesus via Mauro Ramos;;False;https://www.consorciofenix.com.br/horarios/ticen-cachoeira-do-bom-jesus-via-mauro-ramos,D-260
fenix;D-264;TICEN / Ingleses via Mauro Ramos;;False;https://www.consorciofenix.com.br/horarios/ticen-ingleses-via-mauro-ramos,D-264
fenix;D-266;TICEN / Praia Brava via Mauro Ramos;;False;https://www.consorciofenix.com.br/horarios/ticen-praia-brava-via-mauro-ramos,D-266
fenix;D-267;TICEN / Rio Vermelho via Mauro Ramos;;False;https://www.consorciofenix.com.br/horarios/ticen-rio-vermelho-via-mauro-ramos,D-267
fenix;2120;Executivo Barra da Lagoa;;True;https://www.consorciofenix.com.br/horarios/executivo-barra-da-lagoa,2120
fenix;1126;Executivo Cachoeira;;True;https://www.consorciofenix.com.br/horarios/executivo-cachoeira,1126
fenix;4124;Executivo Caieira da Barra do Sul via Tapera;;True;https://www.consorciofenix.com.br/horarios/executivo-caieira-da-barra-do-sul-via-tapera,4124
fenix;1120;Executivo Canasvieiras;;True;https://www.consorciofenix.com.br/horarios/executivo-canasvieiras,1120
fenix;1128;Executivo Costa do Moçambique;;True;https://www.consorciofenix.com.br/horarios/executivo-costa-do-mocambique,1128
fenix;1132;Executivo Costa do Moçambique via Vargem Grande;;True;https://www.consorciofenix.com.br/horarios/executivo-costa-do-mocambique-via-vargem-grande,1132
fenix;1127;Executivo Gaivotas;;True;https://www.consorciofenix.com.br/horarios/executivo-gaivotas,1127
fenix;1121;Executivo Ingleses / Santinho;;True;https://www.consorciofenix.com.br/horarios/executivo-ingleses-santinho,1121
fenix;1123;Executivo Jurerê;;True;https://www.consorciofenix.com.br/horarios/executivo-jurere,1123
fenix;1129;Executivo Muquém;;True;https://www.consorciofenix.com.br/horarios/executivo-muquem,1129
fenix;4120;Executivo Pântano do Sul via Eucaliptos;;True;https://www.consorciofenix.com.br/horarios/executivo-pantano-do-sul-via-eucaliptos,4120
fenix;4125;Executivo Pântano do Sul via Gramal;;True;https://www.consorciofenix.com.br/horarios/executivo-pantano-do-sul-via-gramal,4125
fenix;1122;Executivo Praia Brava;;True;https://www.consorciofenix.com.br/horarios/executivo-praia-brava,1122
fenix;4123;Executivo Ribeirão da Ilha;;True;https://www.consorciofenix.com.br/horarios/executivo-ribeirao-da-ilha,4123
fenix;1125;Executivo Rio Vermelho;;True;https://www.consorciofenix.com.br/horarios/executivo-rio-vermelho,1125
fenix;673;Ponte Viva;;False;https://www.consorciofenix.com.br/horarios/ponte-viva,673
fenix;276;Balneário Canasvieiras;;False;https://www.consorciofenix.com.br/horarios/balneario-canasvieiras,276
fenix;277;Balneário Ingleses;;False;https://www.consorciofenix.com.br/horarios/balneario-ingleses,277
fenix;280;Cachoeira / TICAN;;False;https://www.consorciofenix.com.br/horarios/cachoeira-tican,280
fenix;260;Cachoeira do Bom Jesus;;False;https://www.consorciofenix.com.br/horarios/cachoeira-do-bom-jesus,260
fenix;261;Capivari;;False;https://www.consorciofenix.com.br/horarios/capivari,261
fenix;V-261;Capivari via SC-403;;False;https://www.consorciofenix.com.br/horarios/capivari-via-sc-403,V-261
fenix;262;Circular Canasvieiras;;False;https://www.consorciofenix.com.br/horarios/circular-canasvieiras,262
fenix;285;Circular Moçambique;;False;https://www.consorciofenix.com.br/horarios/circular-mocambique,285
fenix;288;Circular Rio Vermelho;;False;https://www.consorciofenix.com.br/horarios/circular-rio-vermelho,288
fenix;281;Costa do Moçambique;;False;https://www.consorciofenix.com.br/horarios/costa-do-mocambique,281
fenix;250;Forte / Canasvieiras;;False;https://www.consorciofenix.com.br/horarios/forte-canasvieiras,250
fenix;V-250;Forte / Canasvieiras via Col. Virgílio Várzea;;False;https://www.consorciofenix.com.br/horarios/forte-canasvieiras-via-col-virgilio-varzea,V-250
fenix;263;Gaivotas;;False;https://www.consorciofenix.com.br/horarios/gaivotas,263
fenix;269;Moçambique via Rua Alzira Rosa Aguiar;;False;https://www.consorciofenix.com.br/horarios/mocambique-via-rua-alzira-rosa-aguiar,269
fenix;265;Ponta das Canas;;False;https://www.consorciofenix.com.br/horarios/ponta-das-canas,265
fenix;266;Praia Brava;;False;https://www.consorciofenix.com.br/horarios/praia-brava,266
fenix;267;Rio Vermelho;;False;https://www.consorciofenix.com.br/horarios/rio-vermelho,267
fenix;287;Rio Vermelho via Vargem Grande;;False;https://www.consorciofenix.com.br/horarios/rio-vermelho-via-vargem-grande,287
fenix;264;Santinho via Ingleses;;False;https://www.consorciofenix.com.br/horarios/santinho-via-ingleses,264
fenix;268;Sítio de Baixo;;False;https://www.consorciofenix.com.br/horarios/sitio-de-baixo,268
fenix;274;Tulipas Vermelhas via Muquém;;False;https://www.consorciofenix.com.br/horarios/tulipas-vermelhas-via-muquem,274
fenix;283;Vargem do Bom Jesus;;False;https://www.consorciofenix.com.br/horarios/vargem-do-bom-jesus,283
fenix;270;Vargem Grande;;False;https://www.consorciofenix.com.br/horarios/vargem-grande,270
